country;dimension;group;item;lat_mean;lat_var;a;b1;b2;b3;b4
IDN;R;1;R8;0;1;1,628578774;-0,954354664;0,12162908;1,087740435;2,24419606
IDN;R;2;R1;-0,325502072;1,059631697;0,85773039;-3,09149131;-1,957117538;0,086841376;1,597442377
IDN;R;2;R2;-0,325502072;1,059631697;1,378067728;-1,082409908;-0,197143093;1,086540697;2,309114443
IDN;R;2;R3;-0,325502072;1,059631697;1,453005354;-0,421073236;0,578734871;1,635295291;2,412225681
IDN;R;2;R4;-0,325502072;1,059631697;1,947731512;-0,920793467;-0,043133338;0,773472597;1,837625888
IDN;R;2;R5;-0,325502072;1,059631697;2,241249785;-0,747769785;0,173234744;1,059390177;1,933594037
IDN;R;2;R6;-0,325502072;1,059631697;2,075541004;-0,806402198;0,023641666;0,967985711;1,965554756
IDN;R;2;R7;-0,325502072;1,059631697;1,801984984;-1,470493554;-0,419789449;0,635127008;1,75750509
IDN;R;2;R8;-0,325502072;1,059631697;1,628578774;-0,954354664;0,12162908;1,087740435;2,24419606
IDN;I;1;I1;0;1;1,83085672;-1,661753255;-0,843461881;-0,034998333;1,008840222
IDN;I;1;I2;0;1;1,587700506;-1,717437091;-0,91659515;-0,134126692;0,925785654
IDN;I;1;I3;0;1;2,771745192;-1,295076523;-0,562516173;0,077785891;0,92434861
IDN;I;1;I4;0;1;1,712714911;-1,551640223;-0,757935399;0,186194814;1,156877925
IDN;I;1;I5;0;1;3,988705409;-1,053631261;-0,399850365;0,250695476;1,058593228
IDN;I;1;I6;0;1;2,041954807;-1,369981595;-0,546202611;0,202228174;1,199621699
IDN;I;1;I7;0;1;2,912868381;-1,05752355;-0,331733563;0,318671318;1,186315697
IDN;I;1;I8;0;1;1,273005924;-1,48039014;-0,452355892;0,59673375;1,904636988
IDN;I;2;I1;-0,193128659;1,084733818;1,624211308;-2,037681241;-1,249256164;-0,281600215;0,746046722
IDN;I;2;I2;-0,193128659;1,084733818;1,587700506;-1,717437091;-0,91659515;-0,134126692;0,925785654
IDN;I;2;I3;-0,193128659;1,084733818;2,771745192;-1,295076523;-0,562516173;0,077785891;0,92434861
IDN;I;2;I4;-0,193128659;1,084733818;1,712714911;-1,551640223;-0,757935399;0,186194814;1,156877925
IDN;I;2;I5;-0,193128659;1,084733818;3,988705409;-1,053631261;-0,399850365;0,250695476;1,058593228
IDN;I;2;I6;-0,193128659;1,084733818;2,041954807;-1,369981595;-0,546202611;0,202228174;1,199621699
IDN;I;2;I7;-0,193128659;1,084733818;2,912868381;-1,05752355;-0,331733563;0,318671318;1,186315697
IDN;I;2;I8;-0,193128659;1,084733818;1,070226806;-1,155012816;-0,059828492;1,071241669;2,400501791
IDN;A;1;A1;0;1;1,534685607;-1,219440591;-0,305676958;0,63152778;1,67803124
IDN;A;1;A2;0;1;1,196023899;-2,236002353;-1,213121661;-0,020820296;1,33211298
IDN;A;1;A3;0;1;1,426624874;-1,533738387;-0,507006467;0,391459479;1,423674226
IDN;A;1;A4;0;1;2,21845667;-1,055943883;-0,355640696;0,392142484;1,188690954
IDN;A;1;A5;0;1;1,856174375;-1,513458136;-0,733700053;0,029990108;0,948465253
IDN;A;1;A6;0;1;1,796306284;-1,630547444;-0,88421003;-0,041468032;0,82866458
IDN;A;1;A7;0;1;0,933506232;-1,387665945;-0,238525404;0,931567541;2,208509143
IDN;A;1;A8;0;1;1,60672386;-1,605238748;-0,668096825;0,274452916;1,483663087
IDN;A;2;A1;0,158896422;0,895305614;1,534685607;-1,219440591;-0,305676958;0,63152778;1,67803124
IDN;A;2;A2;0,158896422;0,895305614;1,196023899;-2,236002353;-1,213121661;-0,020820296;1,33211298
IDN;A;2;A3;0,158896422;0,895305614;0,957313866;-2,602268924;-1,410485875;-0,214718588;1,281875223
IDN;A;2;A4;0,158896422;0,895305614;2,21845667;-1,055943883;-0,355640696;0,392142484;1,188690954
IDN;A;2;A5;0,158896422;0,895305614;1,475822531;-1,943920084;-1,174195839;-0,348327931;0,820724103
IDN;A;2;A6;0,158896422;0,895305614;1,796306284;-1,630547444;-0,88421003;-0,041468032;0,82866458
IDN;A;2;A7;0,158896422;0,895305614;0,933506232;-1,387665945;-0,238525404;0,931567541;2,208509143
IDN;A;2;A8;0,158896422;0,895305614;1,334428718;-2,264769709;-1,113175943;-0,072277623;1,316526452
IDN;S;1;S1;0;1;1,25684261;-2,67015276;-1,731447451;-0,559130688;0,715624194
IDN;S;1;S2;0;1;1,286016911;-2,191603177;-1,153237314;-0,018878372;1,271011235
IDN;S;1;S3;0;1;2,010237808;-1,384822483;-0,732374379;0,110170479;1,108336379
IDN;S;1;S4;0;1;1,36676859;-2,073004366;-0,863525366;0,110974314;1,302911649
IDN;S;1;S5;0;1;2,176088311;-1,740168731;-1,008355781;-0,281522722;0,713933771
IDN;S;1;S6;0;1;1,913799589;-1,466763712;-0,710517226;0,015292537;1,081675461
IDN;S;1;S7;0;1;2,092477758;-1,528888328;-0,774467005;-0,005865047;0,967769062
IDN;S;1;S8;0;1;1,95660947;-1,343720875;-0,565021511;0,301610443;1,309430502
IDN;S;2;S1;0,281560455;0,787188416;1,279805195;-2,210326649;-1,169914018;-0,062518911;1,197634059
IDN;S;2;S2;0,281560455;0,787188416;1,242120934;-2,592591722;-1,658540278;-0,360187616;0,914820378
IDN;S;2;S3;0,281560455;0,787188416;2,010237808;-1,384822483;-0,732374379;0,110170479;1,108336379
IDN;S;2;S4;0,281560455;0,787188416;1,215348046;-1,699833283;-0,604725622;0,55177041;1,977107223
IDN;S;2;S5;0,281560455;0,787188416;2,176088311;-1,740168731;-1,008355781;-0,281522722;0,713933771
IDN;S;2;S6;0,281560455;0,787188416;1,913799589;-1,466763712;-0,710517226;0,015292537;1,081675461
IDN;S;2;S7;0,281560455;0,787188416;2,092477758;-1,528888328;-0,774467005;-0,005865047;0,967769062
IDN;S;2;S8;0,281560455;0,787188416;1,95660947;-1,343720875;-0,565021511;0,301610443;1,309430502
IDN;E;1;E1;0;1;1,390411173;-1,61639153;-0,585141981;0,581300995;1,829428796
IDN;E;1;E2;0;1;1,414319299;-1,16580389;-0,068836317;1,043621352;2,164394454
IDN;E;1;E3;0;1;1,489234499;-2,150454211;-1,088682809;0,007283392;1,431789668
IDN;E;1;E4;0;1;1,222068981;-0,709855926;0,435460071;1,805527674;3,000406557
IDN;E;1;E5;0;1;1,341506637;-2,861314442;-1,57030476;-0,404432845;0,925040751
IDN;E;1;E6;0;1;2,265425528;-1,362262057;-0,447216679;0,363253561;1,342139037
IDN;E;1;E7;0;1;1,366750346;-1,231480424;-0,139313278;0,919146211;1,960682112
IDN;E;1;E8;0;1;1,36413614;-2,219497549;-1,080205368;0,120907079;1,350233086
IDN;E;2;E1;-0,009019477;1,065760548;1,599717104;-1,302824646;-0,317540971;0,732272896;1,903041743
IDN;E;2;E2;-0,009019477;1,065760548;1,414319299;-1,16580389;-0,068836317;1,043621352;2,164394454
IDN;E;2;E3;-0,009019477;1,065760548;1,489234499;-2,150454211;-1,088682809;0,007283392;1,431789668
IDN;E;2;E4;-0,009019477;1,065760548;1,502255988;-1,591454956;-0,587873265;0,414319068;1,525463959
IDN;E;2;E5;-0,009019477;1,065760548;1,301755653;-2,299036426;-1,139793457;0,083752567;1,432346764
IDN;E;2;E6;-0,009019477;1,065760548;2,122750622;-2,112788496;-1,016832225;-0,138413321;0,840624117
IDN;E;2;E7;-0,009019477;1,065760548;1,489960363;-0,93759017;0,18051925;1,470542174;2,415004493
IDN;E;2;E8;-0,009019477;1,065760548;1,36413614;-2,219497549;-1,080205368;0,120907079;1,350233086
IDN;C;1;C1;0;1;1,80047948;-1,462633812;-0,516421453;0,567031493;1,662713269
IDN;C;1;C2;0;1;1,577913374;-1,947940447;-0,85209082;0,260811959;1,568938336
IDN;C;1;C3;0;1;1,911077597;-1,930473758;-0,712417227;0,155652036;1,245058018
IDN;C;1;C4;0;1;1,800219842;-1,551771049;-0,62542296;0,505450449;1,603699286
IDN;C;1;C5;0;1;1,428376709;-1,628555701;-0,82982607;0,112475242;1,44819801
IDN;C;1;C6;0;1;1,658272579;-1,978727512;-0,937256003;0,169874269;1,316717225
IDN;C;1;C7;0;1;1,760033608;-1,081895743;-0,073840038;0,938826472;1,977953382
IDN;C;1;C8;0;1;1,981276739;-1,624946375;-0,671647371;0,450565919;1,406047372
IDN;C;2;C1;-0,314528332;1,215141678;1,80047948;-1,462633812;-0,516421453;0,567031493;1,662713269
IDN;C;2;C2;-0,314528332;1,215141678;1,696464156;-1,541725366;-0,544106741;0,656007676;1,936963535
IDN;C;2;C3;-0,314528332;1,215141678;2,202426287;-1,471476439;-0,633562278;0,38350754;1,298709227
IDN;C;2;C4;-0,314528332;1,215141678;1,339979253;-2,20298969;-1,095117114;0,261026678;1,773882148
IDN;C;2;C5;-0,314528332;1,215141678;1,460029336;-1,281690724;-0,282720313;0,603459101;1,709210399
IDN;C;2;C6;-0,314528332;1,215141678;1,256528004;-2,066223625;-0,877717965;0,499841228;1,601337287
IDN;C;2;C7;-0,314528332;1,215141678;1,760033608;-1,081895743;-0,073840038;0,938826472;1,977953382
IDN;C;2;C8;-0,314528332;1,215141678;1,981276739;-1,624946375;-0,671647371;0,450565919;1,406047372
IND;R;1;R1;0;1;1,058363862;-1,956950473;-1,258491795;0,10795666;1,139825435
